plant_code,lat,lon,State
3084,45.9402,-119.2988,OR
3117,40.113625,-76.71195,PA
3124,41.192088,-79.433501,PA
3145,39.827198,-76.331772,PA
3153,41.467858,-75.130895,PA
3164,39.8076,-76.2993,PA
3175,39.9244,-76.39,PA
3253,34.455514,-82.199339,SC
3255,34.5414,-80.8756,SC
3256,34.5583,-80.8914,SC
3257,34.6,-80.8928,SC
3258,35.1381,-81.5975,SC
3259,34.5592,-80.8917,SC
3261,34.527475,-82.374964,SC
3262,34.9594,-82.9147,SC
3267,34.852224,-82.483959,SC
3270,34.3355,-80.7021,SC
3271,35.0218,-81.0078,SC
3272,35.0314,-81.4936,SC
3275,34.7792,-81.4561,SC
3289,34.6642,-81.4486,SC
3290,34.26132,-81.330852,SC
3293,34.0533,-81.2172,SC
3305,34.2572,-82.6097,SC
3319,33.244404,-79.990909,SC
3321,33.453759,-80.163986,SC
3323,33.6602,-82.1961,SC
3356,44.4504,-100.3866,SD
3373,43.0653,-98.5539,SD
3375,44.0384,-99.4463,SD
3394,35.167712,-84.295601,TN
3395,36.4403,-82.4381,TN
3397,36.168176,-83.49768,TN
3398,35.101791,-85.229467,TN
3400,35.9623,-83.5393,TN
3401,36.4982,-82.5086,TN
3402,35.7917,-84.2431,TN
3404,35.806732,-85.634063,TN
3408,35.8853,-84.3003,TN
3409,35.0017,-85.6218,TN
3411,36.2242,-84.0914,TN
3412,35.0947,-84.6478,TN
3413,35.082271,-84.49115,TN
3414,35.075,-84.4833,TN
3415,35.0683,-88.2494,TN
3416,36.523174,-82.090213,TN
3417,35.1967,-86.2783,TN
3418,36.3413,-82.1264,TN
3420,35.619673,-84.785527,TN
3421,36.341667,-82.126389,TN
3423,36.289539,-85.94416,TN
3424,36.5378,-85.4517,TN
3426,36.2972,-86.6556,TN
3428,36.1564,-86.6186,TN
3437,28.829535,-100.552234,TX
3581,29.593951,-98.040734,TX
3583,29.495193,-97.624948,TX
3585,29.537565,-97.932106,TX
3586,29.548136,-97.999587,TX
3594,30.293424,-97.784408,TX
3595,30.7507,-98.4176,TX
3597,30.556,-98.3384,TX
3598,30.731599,-98.385422,TX
3599,30.555288,-98.257593,TX
3600,30.3899,-97.9073,TX
3643,38.2683,-112.4806,UT
3646,41.834702,-112.052114,UT
3651,40.619173,-111.78208,UT
3656,41.243643,-111.946478,UT
3658,40.544942,-111.502911,UT
3659,40.6236,-111.7533,UT
3661,41.137621,-111.884948,UT
3666,41.501619,-111.99345,UT
3675,41.746364,-111.746023,UT
3676,39.255911,-111.621491,UT
3688,40.167136,-111.499461,UT
3691,40.080042,-111.604846,UT
3697,41.136547,-111.831441,UT
3698,40.7904,-111.4043,UT
3699,37.9858,-111.4383,UT
3704,40.538056,-110.066111,UT
3710,43.381225,-72.598242,VT
3711,44.6356,-73.12,VT
3712,44.6534,-72.9961,VT
3714,43.6368,-72.9758,VT
3716,44.0249,-73.1768,VT
3717,44.641433,-73.113364,VT
3720,44.6381,-73.1625,VT
3722,43.694,-72.955,VT
3724,43.8954,-73.1007,VT
3725,43.898584,-73.053125,VT
3728,44.0661,-73.2158,VT
3731,44.937579,-72.179968,VT
3737,44.4821,-73.1164,VT
3739,44.3606,-72.3356,VT
3740,44.292391,-72.6824,VT
3743,44.4056,-72.1881,VT
3745,43.1375,-72.4464,VT
3746,42.7936,-72.9144,VT
3750,44.999274,-71.530164,VT
3753,44.887379,-72.055357,VT
3762,44.500222,-71.998921,VT
3764,44.561831,-72.602369,VT
3765,44.577553,-72.611861,VT
3772,36.808229,-80.938714,VA
3773,36.7858,-80.9333,VA
3774,37.075,-80.5847,VA
3777,37.0933,-79.4025,VA
3778,37.2544,-79.8756,VA
3779,37.4639,-79.1856,VA
3780,37.0413,-79.5356,VA
3789,38.676667,-78.498888,VA
3790,38.571389,-78.593611,VA
3798,37.592887,-79.380823,VA
3821,37.5736,-79.3715,VA
3825,36.666866,-80.447897,VA
3826,36.664145,-79.883588,VA
3833,36.59943,-78.3005,VA
3847,45.9567,-122.554444,WA
3850,46.060833,-122.201667,WA
3852,45.96277,-122.335467,WA
3854,46.990967,-122.174921,WA
3855,48.5478,-121.7407,WA
3861,48.649,-121.6907,WA
3866,47.821667,-117.916667,WA
3867,47.834444,-117.836111,WA
3868,48.5953,-118.0603,WA
3869,47.769722,-117.537222,WA
3878,46.974912,-122.635795,WA
3883,47.533611,-120.295278,WA
3886,47.9469,-119.8653,WA
3887,46.6451,-119.908,WA
3888,46.8731,-119.9703,WA
3891,48.780856,-117.418337,WA
3895,45.614,-121.1346,OR
3913,46.8016,-122.3102,WA
3914,47.4181,-123.2252,WA
3915,47.3698,-123.1603,WA
3916,46.8328,-122.3196,WA
3917,46.5035,-122.5885,WA
3918,46.5347,-122.4247,WA
3921,47.9951,-119.6404,WA
3925,46.249801,-118.879838,WA
3926,46.5838,-118.0273,WA
3927,46.5635,-118.5397,WA
3929,46.595833,-121.569444,WA
3971,44.4306,-89.7808,WI
3972,44.6647,-89.6511,WI
3973,44.5153,-89.585,WI
3974,44.3939,-89.825,WI
3975,44.4889,-89.5756,WI
3983,45.491667,-91.0469,WI
3986,45.464444,-91.083611,WI
3988,45.411139,-91.218283,WI
3989,46.498333,-90.903889,WI
3995,45.7517,-91.2028,WI
3998,44.9367,-91.8883,WI
4000,44.9308,-91.3889,WI
4002,44.828056,-91.511111,WI
4007,45.223611,-91.127222,WI
4008,45.051,-91.274,WI
4009,44.884167,-91.929444,WI
4011,45.41167,-92.6469,WI
4012,45.94794,-91.888374,WI
4015,44.9378,-91.3406,WI
4018,45.9467,-92.5383,WI
4019,46,-92.3725,WI
4043,44.25393,-88.40956,WI
4044,44.8764,-88.1475,WI
4045,45.8275,-88.2483,WI
4053,43.625845,-89.780764,WI
4056,43.309932,-89.727778,WI
4060,45.1875,-89.7553,WI
4061,45.3569,-88.2306,WI
4063,45.3019,-89.7917,WI
4064,45.5711,-89.4806,WI
4065,45.2794,-88.1997,WI
4067,45.2875,-88.1603,WI
4068,45.1786,-89.685,WI
4071,45.1136,-87.7586,WI
4074,45.2333,-88.0678,WI
4075,45.4411,-89.7306,WI
4077,44.9575,-89.6367,WI
4079,43.8656,-89.9514,WI
4080,44.0572,-90.0217,WI
4102,45.40193,-91.840382,WI
4119,44.279897,-88.25558,WI
4122,44.3164,-88.3147,WI
4142,45.491826,-91.047211,WI
4147,44.8747,-88.1586,WI
4176,42.4766,-106.795901,WY
4177,42.467254,-104.955526,WY
4178,42.289868,-104.760634,WY
4180,42.174301,-106.880543,WY
4182,42.156127,-106.908483,WY
4183,44.502897,-109.181228,WY
4185,42.027013,-110.063973,WY
4201,44.273511,-88.300548,WI
4204,44.418293,-111.395971,ID
4213,45.481708,-122.083188,OR
